DOMAIN	Exophiala_alcalophila	Exophiala_crusticola	Exophiala_lecanii-corni	Exophiala_mesophila	Exophiala_sideris	Exophiala_spinifera	Exophiala_viscosa	Exophiala_xenobiotica
S09X	47	31	39	42	51	51	59	43
S33	44	27	39	35	55	40	45	50
M38	15	13	13	20	20	15	20	19
S12	10	10	13	13	17	13	12	14
C19	10	11	13	10	13	14	14	15
T01A	11	13	12	11	12	12	12	13
A01A	7	9	4	7	13	13	14	11
S10	8	8	10	7	11	8	12	12
C26	7	10	10	10	10	7	9	10
S09C	7	6	6	5	12	10	9	7
M20X	5	3	4	6	6	5	6	4
C44	4	5	4	3	5	4	5	5
C45	2	2	1	6	7	3	7	4
M01	3	4	4	4	4	4	4	4
C12	3	4	4	3	4	4	4	4
M20A	1	3	3	5	5	2	6	4
M24B	3	3	4	3	5	3	4	4
M20D	5	4	3	3	2	4	2	3
M19	2	4	3	2	3	4	4	4
M16B	3	3	3	3	3	3	3	3
S28	2	2	1	2	5	2	3	6
M67A	2	2	4	4	3	2	3	2
S53	2	4	2	2	3	2	3	4
S54	2	4	3	2	2	2	3	2
C02A	2	3	2	3	3	3	2	1
C48	1	2	2	3	3	2	3	3
S08A	1	1	3	2	2	5	2	3
M80	2	2	3	3	2	1	3	3
C56	3	2	2	2	2	3	2	2
T03	2	2	2	2	1	3	3	2
M18	2	2	2	2	2	2	2	2
C14B	2	1	2	0	3	2	3	3
M28B	2	2	2	2	2	2	2	2
M41	2	2	2	2	2	2	2	2
T02	2	2	1	2	2	2	2	2
M24A	2	1	2	3	1	3	2	1
M20F	2	1	2	1	2	2	2	2
M67X	1	2	2	2	2	2	1	2
M03A	2	2	2	1	2	1	2	2
M16C	1	1	1	2	1	1	2	2
M28X	0	1	2	2	1	2	1	2
S16	2	0	0	1	2	2	2	2
S01D	1	1	1	1	1	2	1	2
M49	2	1	1	2	1	1	1	1
M14A	1	1	2	2	1	1	1	1
S26A	2	1	0	0	2	1	2	2
S09B	1	1	2	1	1	1	1	1
M16A	1	1	2	1	1	1	1	1
I51	1	1	2	1	1	1	1	1
M28E	1	1	2	1	1	1	1	1
M48A	1	1	1	1	1	1	1	1
A28A	1	1	1	1	1	1	1	1
M67C	1	1	1	1	1	1	1	1
C50	1	1	1	1	1	1	1	1
M13	1	1	1	1	1	1	1	1
C97	1	1	1	1	1	1	1	1
C78B	1	1	1	1	1	1	1	1
T01X	1	1	1	1	1	1	1	1
M43B	1	2	0	1	1	1	1	1
T05	1	1	1	1	1	1	1	1
C13	1	1	1	1	1	1	1	1
C85B	1	1	1	1	1	1	1	1
C01B	1	1	1	1	1	1	1	1
M48C	1	1	1	1	1	1	1	1
S14	1	1	1	1	1	1	1	1
S26B	1	1	1	1	1	1	1	1
M76	1	1	1	1	1	1	1	1
M28A	2	1	1	1	1	0	1	0
M24X	0	1	2	2	0	1	1	0
C110	1	1	0	1	1	1	1	1
M79	1	1	1	0	1	1	1	1
M04	0	1	3	0	0	2	0	1
C65	0	1	1	1	1	1	1	1
M12B	1	1	0	1	1	1	1	1
S08B	0	1	1	0	1	1	1	1
C54	0	1	1	1	1	1	1	0
I32	0	1	1	0	1	1	1	1
I87	1	1	1	0	1	0	0	1
A22B	0	1	1	1	0	1	0	1
C115	1	1	1	1	0	0	0	0
C85	0	1	1	1	1	0	0	0
C59	1	1	1	0	1	0	0	0
C15	0	0	0	0	1	1	1	1
M10A	0	1	1	1	0	0	0	0
S59	1	0	1	0	1	0	0	0
C85A	0	0	0	0	0	1	1	1
M54	0	0	0	0	1	1	0	1
P01	1	0	0	0	0	1	0	0
S09A	1	0	0	0	0	1	0	0
C01A	0	0	1	0	0	0	0	1
M06	0	0	0	0	0	1	0	1
S11	0	1	0	0	0	0	0	0
G01	0	0	1	0	0	0	0	0
M12X	0	0	1	0	0	0	0	0
M10B	0	0	0	0	0	1	0	0
